time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-10-06 02:00:00,196.78,193.93,197.51,1006198.6,196047485.18,194.84,multiply,BTC
2018-10-07 02:00:00,195.66,193.6,194.84,1071407.41,209386548.97,195.43,multiply,BTC
2018-10-08 02:00:00,199.96,196.26,195.43,1200418.82,238715925.53,198.86,multiply,BTC
2018-10-09 02:00:00,199.3,197.05,198.86,1188808.62,235007403.74,197.68,multiply,BTC
2018-10-10 02:00:00,195.82,194.0,197.68,1200791.37,233778252.59,194.69,multiply,BTC
2018-10-11 02:00:00,182.95,162.68,194.63,1756832.35,287209195.17,163.48,multiply,BTC
2018-10-12 02:00:00,170.8,165.14,163.48,1328302.74,224080723.99,168.7,multiply,BTC
2018-10-13 02:00:00,172.86,168.65,168.7,1080408.06,185592606.75,171.78,multiply,BTC
2018-10-14 02:00:00,171.82,166.48,171.78,1074393.91,179796350.01,167.35,multiply,BTC
2018-10-15 02:00:00,187.52,173.63,167.35,1973309.74,352170116.45,178.47,multiply,BTC
2018-10-16 02:00:00,180.03,177.55,178.47,1238103.59,221915734.98,179.24,multiply,BTC
2018-10-17 02:00:00,181.03,178.31,179.21,1231933.8,220293593.97,178.82,multiply,BTC
2018-10-18 02:00:00,178.58,174.47,178.82,1096643.56,192446798.08,175.49,multiply,BTC
2018-10-19 02:00:00,175.64,173.46,175.46,747920.05,131071172.96,175.25,multiply,BTC
2018-10-20 02:00:00,178.12,175.71,175.25,729710.89,129282271.7,177.17,multiply,BTC
2018-10-21 02:00:00,178.43,176.19,177.17,798148.74,140846511.51,176.47,multiply,BTC
2018-10-22 02:00:00,177.59,176.18,176.44,940433.89,166110068.17,176.63,multiply,BTC
2018-10-23 02:00:00,178.23,174.47,176.64,871510.03,153619404.22,176.27,multiply,BTC
2018-10-24 02:00:00,178.99,176.84,176.27,830502.15,147098434.5,177.12,multiply,BTC
2018-10-25 02:00:00,176.95,175.76,177.12,876314.95,154614924.5,176.44,multiply,BTC
2018-10-26 02:00:00,178.58,175.64,176.44,837268.23,148145475.77,176.94,multiply,BTC
2018-10-27 02:00:00,177.55,176.65,176.94,800415.68,141935514.11,177.33,multiply,BTC
2018-10-28 02:00:00,178.8,177.45,177.33,751479.04,134282551.58,178.69,multiply,BTC
2018-10-29 01:00:00,175.12,170.76,178.69,1098988.43,188332966.98,171.37,multiply,BTC
2018-10-30 01:00:00,173.45,171.95,171.37,1247023.94,215811771.99,173.06,multiply,BTC
2018-10-31 01:00:00,174.94,173.1,173.06,1203343.83,210179387.79,174.66,multiply,BTC
